Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2025-07-10,380.0,390.3999938964844,377.6000061035156,384.3500061035156,384.3500061035156,9000967,SWIGGY
2025-07-11,383.8500061035156,389.0,377.8500061035156,385.1000061035156,385.1000061035156,11097294,SWIGGY
2025-07-14,384.5,394.70001220703125,380.3999938964844,393.04998779296875,393.04998779296875,12695624,SWIGGY
2025-07-15,393.0,399.20001220703125,383.29998779296875,388.45001220703125,388.45001220703125,12334200,SWIGGY
2025-07-16,390.0,400.0,386.75,389.8500061035156,389.8500061035156,16832818,SWIGGY
2025-07-17,391.75,393.20001220703125,383.8999938964844,385.6499938964844,385.6499938964844,5598050,SWIGGY
2025-07-18,387.0,393.0,386.04998779296875,388.79998779296875,388.79998779296875,4840264,SWIGGY
2025-07-21,388.79998779296875,400.79998779296875,380.1000061035156,394.75,394.75,17679121,SWIGGY
2025-07-22,405.0,426.29998779296875,403.75,417.1499938964844,417.1499938964844,82273537,SWIGGY
2025-07-23,418.0,421.0,412.6000061035156,418.70001220703125,418.70001220703125,17008721,SWIGGY
2025-07-24,418.0,429.8999938964844,405.70001220703125,419.25,419.25,21757408,SWIGGY
2025-07-25,418.54998779296875,418.54998779296875,406.0,407.95001220703125,407.95001220703125,7747460,SWIGGY
2025-07-28,405.8999938964844,416.20001220703125,401.3500061035156,407.1000061035156,407.1000061035156,9524154,SWIGGY
2025-07-29,408.1000061035156,415.70001220703125,402.29998779296875,413.79998779296875,413.79998779296875,5833966,SWIGGY
2025-07-30,413.79998779296875,414.0,399.0,401.1000061035156,401.1000061035156,10405480,SWIGGY
2025-07-31,400.0,407.0,397.70001220703125,403.75,403.75,8479325,SWIGGY
2025-08-01,408.0,408.5,386.3999938964844,392.3500061035156,392.3500061035156,22583961,SWIGGY
2025-08-04,392.5,403.1499938964844,381.75,399.20001220703125,399.20001220703125,14946689,SWIGGY
2025-08-05,397.20001220703125,398.8999938964844,383.0,385.54998779296875,385.54998779296875,11103861,SWIGGY
2025-08-06,386.8999938964844,399.0,385.54998779296875,393.95001220703125,393.95001220703125,16552149,SWIGGY
2025-08-07,392.0,400.54998779296875,387.5,398.5,398.5,10357031,SWIGGY
2025-08-08,402.8999938964844,402.8999938964844,381.8500061035156,384.79998779296875,384.79998779296875,9492514,SWIGGY
2025-08-11,385.0,404.95001220703125,381.6499938964844,400.70001220703125,400.70001220703125,9171569,SWIGGY
2025-08-12,403.0,403.5,391.6499938964844,393.25,393.25,9640468,SWIGGY
2025-08-13,396.45001220703125,405.75,395.1000061035156,400.3999938964844,400.3999938964844,12854438,SWIGGY
2025-08-14,401.0,403.79998779296875,397.0,398.3999938964844,398.3999938964844,7189281,SWIGGY
2025-08-18,408.04998779296875,410.8500061035156,397.79998779296875,399.8500061035156,399.8500061035156,12185716,SWIGGY
2025-08-19,401.79998779296875,410.75,399.5,409.70001220703125,409.70001220703125,12943754,SWIGGY
2025-08-20,408.5,422.70001220703125,406.3500061035156,421.04998779296875,421.04998779296875,26084973,SWIGGY
2025-08-21,427.0,443.3999938964844,424.1000061035156,435.70001220703125,435.70001220703125,39503599,SWIGGY
2025-08-22,431.8500061035156,434.95001220703125,421.20001220703125,427.8999938964844,427.8999938964844,15407596,SWIGGY
2025-08-25,428.0,432.29998779296875,420.1000061035156,425.6499938964844,425.6499938964844,13757056,SWIGGY
2025-08-26,427.0,439.3999938964844,419.0,430.54998779296875,430.54998779296875,126308057,SWIGGY
2025-08-28,430.54998779296875,433.20001220703125,419.6000061035156,421.0,421.0,9101997,SWIGGY
2025-08-29,425.0,425.0,406.1499938964844,409.75,409.75,13267998,SWIGGY
2025-09-01,416.95001220703125,430.0,413.25,428.5,428.5,12343339,SWIGGY
2025-09-02,427.95001220703125,432.6000061035156,421.45001220703125,425.95001220703125,425.95001220703125,7323331,SWIGGY
2025-09-03,428.1000061035156,434.75,424.6499938964844,430.6000061035156,430.6000061035156,8201506,SWIGGY
2025-09-04,432.0,436.25,421.20001220703125,423.1000061035156,423.1000061035156,7536276,SWIGGY
2025-09-05,425.0,440.0,420.70001220703125,439.04998779296875,439.04998779296875,20282407,SWIGGY
2025-09-08,443.0,458.95001220703125,440.0,443.1499938964844,443.1499938964844,19458812,SWIGGY
2025-09-09,445.0,445.0,432.20001220703125,436.6499938964844,436.6499938964844,9435995,SWIGGY
2025-09-10,438.75,438.75,421.3999938964844,423.8999938964844,423.8999938964844,13012999,SWIGGY
2025-09-11,426.95001220703125,432.20001220703125,422.5,423.70001220703125,423.70001220703125,8593765,SWIGGY
2025-09-12,425.04998779296875,430.0,415.54998779296875,420.54998779296875,420.54998779296875,8562600,SWIGGY
2025-09-15,422.6499938964844,427.8999938964844,420.45001220703125,424.8500061035156,424.8500061035156,5200192,SWIGGY
2025-09-16,427.8999938964844,439.20001220703125,425.29998779296875,437.20001220703125,437.20001220703125,12767732,SWIGGY
2025-09-17,437.0,442.6000061035156,432.0,440.95001220703125,440.95001220703125,7017969,SWIGGY
2025-09-18,440.0,445.0,436.25,444.5,444.5,4542176,SWIGGY
2025-09-19,445.0,474.0,440.8500061035156,458.45001220703125,458.45001220703125,66256100,SWIGGY
